word,english,first_person_present_singular,second_person_present_singular,third_person_present_singular,first_person_present_plural,second_person_present_plural,third_person_present_plural,first_person_future_singular_i,second_person_future_singular_i,third_person_future_singular_i,first_person_future_plural_i,second_person_future_plural_i,third_person_future_plural_i,first_person_future_singular_ii,second_person_future_singular_ii,third_person_future_singular_ii,first_person_future_plural_ii,second_person_future_plural_ii,third_person_future_plural_ii,first_person_past_perfect_singular,second_person_past_perfect_singular,third_person_past_perfect_singular,first_person_past_perfect_plural,second_person_past_perfect_plural,third_person_past_perfect_plural,first_person_past_pluperfect_singular,second_person_past_pluperfect_singular,third_person_past_pluperfect_singular,first_person_past_pluperfect_plural,second_person_past_pluperfect_plural,third_person_past_pluperfect_plural,first_person_past_imperfect_singular,second_person_past_imperfect_singular,third_person_past_imperfect_singular,first_person_past_imperfect_plural,second_person_past_imperfect_plural,third_person_past_imperfect_plural,first_person_past_aorist_singular,second_person_past_aorist_singular,third_person_past_aorist_singular,first_person_past_aorist_plural,second_person_past_aorist_plural,third_person_past_aorist_plural,first_person_conditional_i_singular,second_person_conditional_i_singular,third_person_conditional_i_singular,first_person_conditional_i_plural,second_person_conditional_i_plural,third_person_conditional_i_plural,first_person_conditional_ii_singular,second_person_conditional_ii_singular,third_person_conditional_ii_singular,first_person_conditional_ii_plural,second_person_conditional_ii_plural,third_person_conditional_ii_plural,first_person_imperative_singular,first_person_imperative_plural,second_person_imperative_plural
režati,to growl,režim,režiš,reži,režimo,režite,reže,režat ću,režat ćeš,režat će,režat ćemo,režat ćete,režat će,budem režao,budeš režao,bude režao,budemo režali,budete režali,budu režali,režao sam,režao si,režao je,režali smo,režali ste,režali su,bio sam režao,bio si režao,bio je režao,bili smo režali,bili ste režali,bili su režali,režah,režaše,režaše,režasmo,režaste,režahu,,,,,,,režao bih,režao bi,režao bi,režali bismo,režali biste,režali bi,bio bih režao,bio bi režao,bio bi režao,bili bismo režali,bili biste režali,bili bi režali,reži,režimo,režite
ribariti,to fish,ribarim,ribariš,ribari,ribarimo,ribarite,ribare,ribarit ću,ribarit ćeš,ribarit će,ribarit ćemo,ribarit ćete,ribarit će,budem ribario,budeš ribario,bude ribario,budemo ribarili,budete ribarili,budu ribarili,ribario sam,ribario si,ribario je,ribarili smo,ribarili ste,ribarili su,bio sam ribario,bio si ribario,bio je ribario,bili smo ribarili,bili ste ribarili,bili su ribarili,ribarah,ribaraše,ribaraše,ribarasmo,ribaraste,ribarahu,,,,,,,ribario bih,ribario bi,ribario bi,ribarili bismo,ribarili biste,ribarili bi,bio bih ribario,bio bi ribario,bio bi ribario,bili bismo ribarili,bili biste ribarili,bili bi ribarili,ribari,ribarimo,ribarite
ridati,to weep,ridam,ridaš,rida,ridamo,ridate,ridaju,ridat ću,ridat ćeš,ridat će,ridat ćemo,ridat ćete,ridat će,budem ridao,budeš ridao,bude ridao,budemo ridali,budete ridali,budu ridali,ridao sam,ridao si,ridao je,ridali smo,ridali ste,ridali su,bio sam ridao,bio si ridao,bio je ridao,bili smo ridali,bili ste ridali,bili su ridali,ridah,ridaše,ridaše,ridasmo,ridaste,ridahu,,,,,,,ridao bih,ridao bi,ridao bi,ridali bismo,ridali biste,ridali bi,bio bih ridao,bio bi ridao,bio bi ridao,bili bismo ridali,bili biste ridali,bili bi ridali,ridaj,ridajmo,ridajte
rigati,to vomit,rigam,rigaš,riga,rigamo,rigate,rigaju,rigat ću,rigat ćeš,rigat će,rigat ćemo,rigat ćete,rigat će,budem rigao,budeš rigao,bude rigao,budemo rigali,budete rigali,budu rigali,rigao sam,rigao si,rigao je,rigali smo,rigali ste,rigali su,bio sam rigao,bio si rigao,bio je rigao,bili smo rigali,bili ste rigali,bili su rigali,rigah,rigaše,rigaše,rigasmo,rigaste,rigahu,,,,,,,rigao bih,rigao bi,rigao bi,rigali bismo,rigali biste,rigali bi,bio bih rigao,bio bi rigao,bio bi rigao,bili bismo rigali,bili biste rigali,bili bi rigali,rigaj,rigajmo,rigajte
riješiti,to solve,riješim,riješiš,riješi,riješimo,riješite,riješe,riješit ću,riješit ćeš,riješit će,riješit ćemo,riješit ćete,riješit će,budem riješio,budeš riješio,bude riješio,budemo riješili,budete riješili,budu riješili,riješio sam,riješio si,riješio je,riješili smo,riješili ste,riješili su,bio sam riješio,bio si riješio,bio je riješio,bili smo riješili,bili ste riješili,bili su riješili,,,,,,,riješih,riješi,riješi,riješismo,riješiste,riješiše,riješio bih,riješio bi,riješio bi,riješili bismo,riješili biste,riješili bi,bio bih riješio,bio bi riješio,bio bi riješio,bili bismo riješili,bili biste riješili,bili bi riješili,riješi,riješimo,riješite
rinuti,to push,rinem,rineš,rine,rinemo,rinete,rinu,rinut ću,rinut ćeš,rinut će,rinut ćemo,rinut ćete,rinut će,budem rinuo,budeš rinuo,bude rinuo,budemo rinuli,budete rinuli,budu rinuli,rinuo sam,rinuo si,rinuo je,rinuli smo,rinuli ste,rinuli su,bio sam rinuo,bio si rinuo,bio je rinuo,bili smo rinuli,bili ste rinuli,bili su rinuli,,,,,,,rinuh,rinu,rinu,rinusmo,rinuste,rinuše,rinuo bih,rinuo bi,rinuo bi,rinuli bismo,rinuli biste,rinuli bi,bio bih rinuo,bio bi rinuo,bio bi rinuo,bili bismo rinuli,bili biste rinuli,bili bi rinuli,rini,rinimo,rinite
risati,to draw,rišem,rišeš,riše,rišemo,rišete,rišu,risat ću,risat ćeš,risat će,risat ćemo,risat ćete,risat će,budem risao,budeš risao,bude risao,budemo risali,budete risali,budu risali,risao sam,risao si,risao je,risali smo,risali ste,risali su,bio sam risao,bio si risao,bio je risao,bili smo risali,bili ste risali,bili su risali,risah,risaše,risaše,risasmo,risaste,risahu,,,,,,,risao bih,risao bi,risao bi,risali bismo,risali biste,risali bi,bio bih risao,bio bi risao,bio bi risao,bili bismo risali,bili biste risali,bili bi risali,riši,rišimo,rišite
rješavati,to solve,rješavam,rješavaš,rješava,rješavamo,rješavate,rješavaju,rješavat ću,rješavat ćeš,rješavat će,rješavat ćemo,rješavat ćete,rješavat će,budem rješavao,budeš rješavao,bude rješavao,budemo rješavali,budete rješavali,budu rješavali,rješavao sam,rješavao si,rješavao je,rješavali smo,rješavali ste,rješavali su,bio sam rješavao,bio si rješavao,bio je rješavao,bili smo rješavali,bili ste rješavali,bili su rješavali,rješavah,rješavaše,rješavaše,rješavasmo,rješavaste,rješavahu,,,,,,,rješavao bih,rješavao bi,rješavao bi,rješavali bismo,rješavali biste,rješavali bi,bio bih rješavao,bio bi rješavao,bio bi rješavao,bili bismo rješavali,bili biste rješavali,bili bi rješavali,rješavaj,rješavajmo,rješavajte
robovati,to be a slave,robujem,robuješ,robuje,robujemo,robujete,robuju,robovat ću,robovat ćeš,robovat će,robovat ćemo,robovat ćete,robovat će,budem robovao,budeš robovao,bude robovao,budemo robovali,budete robovali,budu robovali,robovao sam,robovao si,robovao je,robovali smo,robovali ste,robovali su,bio sam robovao,bio si robovao,bio je robovao,bili smo robovali,bili ste robovali,bili su robovali,robovah,robovaše,robovaše,robovasmo,robovaste,robovahu,,,,,,,robovao bih,robovao bi,robovao bi,robovali bismo,robovali biste,robovali bi,bio bih robovao,bio bi robovao,bio bi robovao,bili bismo robovali,bili biste robovali,bili bi robovali,robuj,robujmo,robujte
roditi,to bear,rodim,rodiš,rodi,rodimo,rodite,rode,rodit ću,rodit ćeš,rodit će,rodit ćemo,rodit ćete,rodit će,budem rodio,budeš rodio,bude rodio,budemo rodili,budete rodili,budu rodili,rodio sam,rodio si,rodio je,rodili smo,rodili ste,rodili su,bio sam rodio,bio si rodio,bio je rodio,bili smo rodili,bili ste rodili,bili su rodili,,,,,,,rodih,rodi,rodi,rodismo,rodiste,rodiše,rodio bih,rodio bi,rodio bi,rodili bismo,rodili biste,rodili bi,bio bih rodio,bio bi rodio,bio bi rodio,bili bismo rodili,bili biste rodili,bili bi rodili,rodi,rodimo,rodite
roktati,to grunt,rokćem,rokćeš,rokće,rokćemo,rokćete,rokću,roktat ću,roktat ćeš,roktat će,roktat ćemo,roktat ćete,roktat će,budem roktao,budeš roktao,bude roktao,budemo roktali,budete roktali,budu roktali,roktao sam,roktao si,roktao je,roktali smo,roktali ste,roktali su,bio sam roktao,bio si roktao,bio je roktao,bili smo roktali,bili ste roktali,bili su roktali,roktah,roktaše,roktaše,roktasmo,roktaste,roktahu,,,,,,,roktao bih,roktao bi,roktao bi,roktali bismo,roktali biste,roktali bi,bio bih roktao,bio bi roktao,bio bi roktao,bili bismo roktali,bili biste roktali,bili bi roktali,rokći,rokćimo,rokćite
romanizirati,to romanize,romaniziram,romaniziraš,romanizira,romaniziramo,romanizirate,romaniziraju,romanizirat ću,romanizirat ćeš,romanizirat će,romanizirat ćemo,romanizirat ćete,romanizirat će,budem romanizirao,budeš romanizirao,bude romanizirao,budemo romanizirali,budete romanizirali,budu romanizirali,romanizirao sam,romanizirao si,romanizirao je,romanizirali smo,romanizirali ste,romanizirali su,bio sam romanizirao,bio si romanizirao,bio je romanizirao,bili smo romanizirali,bili ste romanizirali,bili su romanizirali,romanizirah,romaniziraše,romaniziraše,romanizirasmo,romaniziraste,romanizirahu,romanizirah,romanizira,romanizira,romanizirasmo,romaniziraste,romaniziraše,romanizirao bih,romanizirao bi,romanizirao bi,romanizirali bismo,romanizirali biste,romanizirali bi,bio bih romanizirao,bio bi romanizirao,bio bi romanizirao,bili bismo romanizirali,bili biste romanizirali,bili bi romanizirali,romaniziraj,romanizirajmo,romanizirajte
roniti,to dive,ronim,roniš,roni,ronimo,ronite,rone,ronit ću,ronit ćeš,ronit će,ronit ćemo,ronit ćete,ronit će,budem ronio,budeš ronio,bude ronio,budemo ronili,budete ronili,budu ronili,ronio sam,ronio si,ronio je,ronili smo,ronili ste,ronili su,bio sam ronio,bio si ronio,bio je ronio,bili smo ronili,bili ste ronili,bili su ronili,ronjah,ronjaše,ronjaše,ronjasmo,ronjaste,ronjahu,,,,,,,ronio bih,ronio bi,ronio bi,ronili bismo,ronili biste,ronili bi,bio bih ronio,bio bi ronio,bio bi ronio,bili bismo ronili,bili biste ronili,bili bi ronili,roni,ronimo,ronite
rovariti,to plot,rovarim,rovariš,rovari,rovarimo,rovarite,rovare,rovarit ću,rovarit ćeš,rovarit će,rovarit ćemo,rovarit ćete,rovarit će,budem rovario,budeš rovario,bude rovario,budemo rovarili,budete rovarili,budu rovarili,rovario sam,rovario si,rovario je,rovarili smo,rovarili ste,rovarili su,bio sam rovario,bio si rovario,bio je rovario,bili smo rovarili,bili ste rovarili,bili su rovarili,rovarah,rovaraše,rovaraše,rovarasmo,rovaraste,rovarahu,,,,,,,rovario bih,rovario bi,rovario bi,rovarili bismo,rovarili biste,rovarili bi,bio bih rovario,bio bi rovario,bio bi rovario,bili bismo rovarili,bili biste rovarili,bili bi rovarili,rovari,rovarimo,rovarite
rovati,to root,rujem,ruješ,ruje,rujemo,rujete,ruju,rovat ću,rovat ćeš,rovat će,rovat ćemo,rovat ćete,rovat će,budem rovao,budeš rovao,bude rovao,budemo rovali,budete rovali,budu rovali,rovao sam,rovao si,rovao je,rovali smo,rovali ste,rovali su,bio sam rovao,bio si rovao,bio je rovao,bili smo rovali,bili ste rovali,bili su rovali,rovah,rovaše,rovaše,rovasmo,rovaste,rovahu,,,,,,,rovao bih,rovao bi,rovao bi,rovali bismo,rovali biste,rovali bi,bio bih rovao,bio bi rovao,bio bi rovao,bili bismo rovali,bili biste rovali,bili bi rovali,ruj,rujmo,rujte
rudariti,to work in a mine,rudarim,rudariš,rudari,rudarimo,rudarite,rudare,rudarit ću,rudarit ćeš,rudarit će,rudarit ćemo,rudarit ćete,rudarit će,budem rudario,budeš rudario,bude rudario,budemo rudarili,budete rudarili,budu rudarili,rudario sam,rudario si,rudario je,rudarili smo,rudarili ste,rudarili su,bio sam rudario,bio si rudario,bio je rudario,bili smo rudarili,bili ste rudarili,bili su rudarili,rudarah,rudaraše,rudaraše,rudarasmo,rudaraste,rudarahu,,,,,,,rudario bih,rudario bi,rudario bi,rudarili bismo,rudarili biste,rudarili bi,bio bih rudario,bio bi rudario,bio bi rudario,bili bismo rudarili,bili biste rudarili,bili bi rudarili,rudari,rudarimo,rudarite
rudeti,to become ruddy,rudim,rudiš,rudi,rudimo,rudite,rude,rudet ću,rudet ćeš,rudet će,rudet ćemo,rudet ćete,rudet će,budem rudeo,budeš rudeo,bude rudeo,budemo rudeli,budete rudeli,budu rudeli,rudeo sam,rudeo si,rudeo je,rudeli smo,rudeli ste,rudeli su,bio sam rudeo,bio si rudeo,bio je rudeo,bili smo rudeli,bili ste rudeli,bili su rudeli,ruđah,ruđaše,ruđaše,ruđasmo,ruđaste,ruđahu,,,,,,,rudeo bih,rudeo bi,rudeo bi,rudeli bismo,rudeli biste,rudeli bi,bio bih rudeo,bio bi rudeo,bio bi rudeo,bili bismo rudeli,bili biste rudeli,bili bi rudeli,rudi,rudimo,rudite
rudjeti,to become ruddy,rudim,rudiš,rudi,rudimo,rudite,rude,rudjet ću,rudjet ćeš,rudjet će,rudjet ćemo,rudjet ćete,rudjet će,budem rudio,budeš rudio,bude rudio,budemo rudjeli,budete rudjeli,budu rudjeli,rudio sam,rudio si,rudio je,rudjeli smo,rudjeli ste,rudjeli su,bio sam rudio,bio si rudio,bio je rudio,bili smo rudjeli,bili ste rudjeli,bili su rudjeli,ruđah,ruđaše,ruđaše,ruđasmo,ruđaste,ruđahu,,,,,,,rudio bih,rudio bi,rudio bi,rudjeli bismo,rudjeli biste,rudjeli bi,bio bih rudio,bio bi rudio,bio bi rudio,bili bismo rudjeli,bili biste rudjeli,bili bi rudjeli,rudi,rudimo,rudite
rugati,to mock,rugam,rugaš,ruga,rugamo,rugate,rugaju,rugat ću,rugat ćeš,rugat će,rugat ćemo,rugat ćete,rugat će,budem rugao,budeš rugao,bude rugao,budemo rugali,budete rugali,budu rugali,rugao sam,rugao si,rugao je,rugali smo,rugali ste,rugali su,bio sam rugao,bio si rugao,bio je rugao,bili smo rugali,bili ste rugali,bili su rugali,rugah,rugaše,rugaše,rugasmo,rugaste,rugahu,,,,,,,rugao bih,rugao bi,rugao bi,rugali bismo,rugali biste,rugali bi,bio bih rugao,bio bi rugao,bio bi rugao,bili bismo rugali,bili biste rugali,bili bi rugali,rugaj,rugajmo,rugajte
ruinirati,to ruin,ruiniram,ruiniraš,ruinira,ruiniramo,ruinirate,ruiniraju,ruinirat ću,ruinirat ćeš,ruinirat će,ruinirat ćemo,ruinirat ćete,ruinirat će,budem ruinirao,budeš ruinirao,bude ruinirao,budemo ruinirali,budete ruinirali,budu ruinirali,ruinirao sam,ruinirao si,ruinirao je,ruinirali smo,ruinirali ste,ruinirali su,bio sam ruinirao,bio si ruinirao,bio je ruinirao,bili smo ruinirali,bili ste ruinirali,bili su ruinirali,ruinirah,ruiniraše,ruiniraše,ruinirasmo,ruiniraste,ruinirahu,ruinirah,ruinira,ruinira,ruinirasmo,ruiniraste,ruiniraše,ruinirao bih,ruinirao bi,ruinirao bi,ruinirali bismo,ruinirali biste,ruinirali bi,bio bih ruinirao,bio bi ruinirao,bio bi ruinirao,bili bismo ruinirali,bili biste ruinirali,bili bi ruinirali,ruiniraj,ruinirajmo,ruinirajte
rukovati,to handle,rukujem,rukuješ,rukuje,rukujemo,rukujete,rukuju,rukovat ću,rukovat ćeš,rukovat će,rukovat ćemo,rukovat ćete,rukovat će,budem rukovao,budeš rukovao,bude rukovao,budemo rukovali,budete rukovali,budu rukovali,rukovao sam,rukovao si,rukovao je,rukovali smo,rukovali ste,rukovali su,bio sam rukovao,bio si rukovao,bio je rukovao,bili smo rukovali,bili ste rukovali,bili su rukovali,rukovah,rukovaše,rukovaše,rukovasmo,rukovaste,rukovahu,,,,,,,rukovao bih,rukovao bi,rukovao bi,rukovali bismo,rukovali biste,rukovali bi,bio bih rukovao,bio bi rukovao,bio bi rukovao,bili bismo rukovali,bili biste rukovali,bili bi rukovali,rukuj,rukujmo,rukujte
rukovoditi,to lead,rukovodim,rukovodiš,rukovodi,rukovodimo,rukovodite,rukovode,rukovodit ću,rukovodit ćeš,rukovodit će,rukovodit ćemo,rukovodit ćete,rukovodit će,budem rukovodio,budeš rukovodio,bude rukovodio,budemo rukovodili,budete rukovodili,budu rukovodili,rukovodio sam,rukovodio si,rukovodio je,rukovodili smo,rukovodili ste,rukovodili su,bio sam rukovodio,bio si rukovodio,bio je rukovodio,bili smo rukovodili,bili ste rukovodili,bili su rukovodili,rukovođah,rukovođaše,rukovođaše,rukovođasmo,rukovođaste,rukovođahu,,,,,,,rukovodio bih,rukovodio bi,rukovodio bi,rukovodili bismo,rukovodili biste,rukovodili bi,bio bih rukovodio,bio bi rukovodio,bio bi rukovodio,bili bismo rukovodili,bili biste rukovodili,bili bi rukovodili,rukovodi,rukovodimo,rukovodite
rumeneti,to be or become/turn rosy,rumenim,rumeniš,rumeni,rumenimo,rumenite,rumene,rumenjet ću,rumenjet ćeš,rumenjet će,rumenjet ćemo,rumenjet ćete,rumenjet će,budem rumeneo,budeš rumeneo,bude rumeneo,budemo rumeneli,budete rumeneli,budu rumeneli,rumeneo sam,rumeneo si,rumeneo je,rumeneli smo,rumeneli ste,rumeneli su,bio sam rumeneo,bio si rumeneo,bio je rumeneo,bili smo rumeneli,bili ste rumeneli,bili su rumeneli,rumenjah,rumenjaše,rumenjaše,rumenjasmo,rumenjaste,rumenjahu,,,,,,,rumeneo bih,rumeneo bi,rumeneo bi,rumeneli bismo,rumeneli biste,rumeneli bi,bio bih rumeneo,bio bi rumeneo,bio bi rumeneo,bili bismo rumeneli,bili biste rumeneli,bili bi rumeneli,rumeni,rumenimo,rumenite
rumeniti,to redden,rumenim,rumeniš,rumeni,rumenimo,rumenite,rumene,rumenit ću,rumenit ćeš,rumenit će,rumenit ćemo,rumenit ćete,rumenit će,budem rumenio,budeš rumenio,bude rumenio,budemo rumenili,budete rumenili,budu rumenili,rumenio sam,rumenio si,rumenio je,rumenili smo,rumenili ste,rumenili su,bio sam rumenio,bio si rumenio,bio je rumenio,bili smo rumenili,bili ste rumenili,bili su rumenili,rumenjah,rumenjaše,rumenjaše,rumenjasmo,rumenjaste,rumenjahu,,,,,,,rumenio bih,rumenio bi,rumenio bi,rumenili bismo,rumenili biste,rumenili bi,bio bih rumenio,bio bi rumenio,bio bi rumenio,bili bismo rumenili,bili biste rumenili,bili bi rumenili,rumeni,rumenimo,rumenite
rumenjeti,to be or become/turn rosy,rumenim,rumeniš,rumeni,rumenimo,rumenite,rumene,rumenjet ću,rumenjet ćeš,rumenjet će,rumenjet ćemo,rumenjet ćete,rumenjet će,budem rumenio,budeš rumenio,bude rumenio,budemo rumenjeli,budete rumenjeli,budu rumenjeli,rumenio sam,rumenio si,rumenio je,rumenjeli smo,rumenjeli ste,rumenjeli su,bio sam rumenio,bio si rumenio,bio je rumenio,bili smo rumenjeli,bili ste rumenjeli,bili su rumenjeli,rumenjah,rumenjaše,rumenjaše,rumenjasmo,rumenjaste,rumenjahu,,,,,,,rumenio bih,rumenio bi,rumenio bi,rumenjeli bismo,rumenjeli biste,rumenjeli bi,bio bih rumenio,bio bi rumenio,bio bi rumenio,bili bismo rumenjeli,bili biste rumenjeli,bili bi rumenjeli,rumeni,rumenimo,rumenite
ručati,to dine,ručam,ručaš,ruča,ručamo,ručate,ručaju,ručat ću,ručat ćeš,ručat će,ručat ćemo,ručat ćete,ručat će,budem ručao,budeš ručao,bude ručao,budemo ručali,budete ručali,budu ručali,ručao sam,ručao si,ručao je,ručali smo,ručali ste,ručali su,bio sam ručao,bio si ručao,bio je ručao,bili smo ručali,bili ste ručali,bili su ručali,ručah,ručaše,ručaše,ručasmo,ručaste,ručahu,ručah,ruča,ruča,ručasmo,ručaste,ručaše,ručao bih,ručao bi,ručao bi,ručali bismo,ručali biste,ručali bi,bio bih ručao,bio bi ručao,bio bi ručao,bili bismo ručali,bili biste ručali,bili bi ručali,ručaj,ručajmo,ručajte
rušiti,to demolish,rušim,rušiš,ruši,rušimo,rušite,ruše,rušit ću,rušit ćeš,rušit će,rušit ćemo,rušit ćete,rušit će,budem rušio,budeš rušio,bude rušio,budemo rušili,budete rušili,budu rušili,rušio sam,rušio si,rušio je,rušili smo,rušili ste,rušili su,bio sam rušio,bio si rušio,bio je rušio,bili smo rušili,bili ste rušili,bili su rušili,rušah,rušaše,rušaše,rušasmo,rušaste,rušahu,,,,,,,rušio bih,rušio bi,rušio bi,rušili bismo,rušili biste,rušili bi,bio bih rušio,bio bi rušio,bio bi rušio,bili bismo rušili,bili biste rušili,bili bi rušili,ruši,rušimo,rušite
rđati,to rust,rđam,rđaš,rđa,rđamo,rđate,rđaju,rđat ću,rđat ćeš,rđat će,rđat ćemo,rđat ćete,rđat će,budem rđao,budeš rđao,bude rđao,budemo rđali,budete rđali,budu rđali,rđao sam,rđao si,rđao je,rđali smo,rđali ste,rđali su,bio sam rđao,bio si rđao,bio je rđao,bili smo rđali,bili ste rđali,bili su rđali,rđah,rđaše,rđaše,rđasmo,rđaste,rđahu,,,,,,,rđao bih,rđao bi,rđao bi,rđali bismo,rđali biste,rđali bi,bio bih rđao,bio bi rđao,bio bi rđao,bili bismo rđali,bili biste rđali,bili bi rđali,rđaj,rđajmo,rđajte
sabirati,to gather,sabirem,sabireš,sabire,sabiremo,sabirete,sabiru,sabirat ću,sabirat ćeš,sabirat će,sabirat ćemo,sabirat ćete,sabirat će,budem sabirao,budeš sabirao,bude sabirao,budemo sabirali,budete sabirali,budu sabirali,sabirao sam,sabirao si,sabirao je,sabirali smo,sabirali ste,sabirali su,bio sam sabirao,bio si sabirao,bio je sabirao,bili smo sabirali,bili ste sabirali,bili su sabirali,sabirah,sabiraše,sabiraše,sabirasmo,sabiraste,sabirahu,,,,,,,sabirao bih,sabirao bi,sabirao bi,sabirali bismo,sabirali biste,sabirali bi,bio bih sabirao,bio bi sabirao,bio bi sabirao,bili bismo sabirali,bili biste sabirali,bili bi sabirali,sabiri,sabirimo,sabirite
sabiti,to compress,sabijem,sabiješ,sabije,sabijemo,sabijete,sabiju,sabit ću,sabit ćeš,sabit će,sabit ćemo,sabit ćete,sabit će,budem sabio,budeš sabio,bude sabio,budemo sabili,budete sabili,budu sabili,sabio sam,sabio si,sabio je,sabili smo,sabili ste,sabili su,bio sam sabio,bio si sabio,bio je sabio,bili smo sabili,bili ste sabili,bili su sabili,,,,,,,sabih,sabi,sabi,sabismo,sabiste,sabiše,sabio bih,sabio bi,sabio bi,sabili bismo,sabili biste,sabili bi,bio bih sabio,bio bi sabio,bio bi sabio,bili bismo sabili,bili biste sabili,bili bi sabili,sabij,sabijmo,sabijte
